County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Putnam,5,83,0,1,0,1,0.186137557,0.349141383,45369.4,12,7.265745916
Emanuel,12,201,1,0,0,1,0.259040915,0.372283326,37670.33333,31.16666667,15.59833733
Berrien,6,101,0,0,1,1,0.259908695,0.334405478,44918.16667,20.5,25
Wayne,7,118,0,1,0,1,0.18419244,0.4,40566,8.166666667,7.453610611
Cherokee,54,923,0,1,0,1,0.094133709,0.230071979,76484.26923,6.076923077,4.042994524
Turner,5,86,1,0,0,0,0.304026846,0.332885906,44416.5,17,21.75556328
Bleckley,6,104,1,0,0,1,0.228349011,0.475024327,38195,25.66666667,7.0278051
Fannin,5,87,0,0,1,1,0.187394621,0.411561622,46241.4,6.6,6.7825
Colquitt,13,227,0,0,1,2,0.245881718,0.385183185,37562.5,11.1,13.98109215
Jefferson,5,88,0,0,1,1,0.234672304,0.449025135,41849,36.75,17.44018961
Dodge,5,88,0,0,1,1,0.20099728,0.437080689,45478.83333,33.66666667,9.578352812
Rabun,8,141,1,0,0,1,0.173302108,0.328103044,46637.6,30,25
Dodge,4,71,0,1,0,1,0.20099728,0.437080689,45478.83333,33.66666667,9.578352812
Whitfield,26,465,0,1,0,1,0.320128522,0.282747541,48220.61111,4.333333333,5.171503377
Glascock,1,18,0,0,1,0,0.190535492,0.466998755,44911,43,25
Wilcox,2,36,0,0,1,0,0.256039604,0.403366337,42538.25,3.25,21.54685218
Bryan,8,144,0,1,0,0,0.093082079,0.275515366,71223.66667,14.83333333,11.3383647
Heard,6,109,1,0,0,0,0.24976107,0.406498885,42930.66667,26.66666667,25
Ben Hill,11,200,1,0,0,1,0.260966377,0.38009352,32267.4,25.6,11.76718087
Thomas,12,219,0,0,1,1,0.152948349,0.382849926,42573.18182,7.181818182,7.11708854
Polk,10,185,0,0,1,1,0.243145123,0.390178657,41351.14286,21.14285714,17.85592521
Tift,21,390,1,0,0,1,0.210090399,0.302206959,45773.22222,4.666666667,11.05477912
Stephens,12,223,1,0,0,1,0.195287451,0.407352174,38693,41.6,3.0975
Walton,22,410,0,0,1,1,0.16656035,0.364309473,58358.26667,17.53333333,5.72550885
Telfair,3,56,0,1,0,0,0.277503565,0.467258967,35347.33333,41.33333333,23.29592593
Liberty,17,320,0,0,1,1,0.08891682,0.335009185,48628.14286,31.28571429,6.168510285
Worth,6,113,0,0,1,1,0.215947736,0.394755683,46701,20.4,7.896633677
Paulding,37,702,0,0,1,1,0.115978964,0.363821467,69686.26316,12.42105263,9.645178249
